,баайыы,баайыы,махталлыы,махтал,махтал,махтал,махталлыы,махтал,харыстаах,харыстаахтык,уоланньыы,уоланньыкка,уоланньыылык,харыстаммыы,харыстаабыт,өрөспүүлээх,өрөспүүтэр,өрөспүү,бигэргэтэ,өрөспүү,бигэргэтэ,мине бигэргэтэ,өрөспүү үөрэх
баайыы,0.9999999999999994,0.9999999999999994,0.9965392325026775,0.9933596923939424,0.9933596923939424,0.9933596923939424,0.9965392325026775,0.9933596923939424,0.9920252048961071,0.9947641204767766,0.996086402085859,0.9933602371721139,0.9926666466877406,0.9937820489611714,0.9940479004232851,0.9924217024936688,0.9892141712529847,0.9918865087463922,0.9942936475070352,0.9918865087463922,0.9942936475070352,0.9936675671220444,0.9911971062002554
баайыы,0.9999999999999994,0.9999999999999994,0.9965392325026775,0.9933596923939424,0.9933596923939424,0.9933596923939424,0.9965392325026775,0.9933596923939424,0.9920252048961071,0.9947641204767766,0.996086402085859,0.9933602371721139,0.9926666466877406,0.9937820489611714,0.9940479004232851,0.9924217024936688,0.9892141712529847,0.9918865087463922,0.9942936475070352,0.9918865087463922,0.9942936475070352,0.9936675671220444,0.9911971062002554
махталлыы,0.9965392325026775,0.9965392325026775,0.9999999999999999,0.9964909337696826,0.9964909337696826,0.9964909337696826,0.9999999999999999,0.9964909337696826,0.9942463941530906,0.9945972168142139,0.9933438518852495,0.9912542318228935,0.9891687306659319,0.9948332875306375,0.9944197665855186,0.9915665034597388,0.9890327913275859,0.9922053518605113,0.9933374824221285,0.9922053518605113,0.9933374824221285,0.9923654976959785,0.9910099209136454
махтал,0.9933596923939424,0.9933596923939424,0.9964909337696826,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9964909337696826,0.9999999999999996,0.9929508110589075,0.9927106211446549,0.9890674204223356,0.9877072194640198,0.9856594882216801,0.9907661259689592,0.9930840631006186,0.9912705897503452,0.9891179647429137,0.9927341558078788,0.9934659357922209,0.9927341558078788,0.9934659357922209,0.992490218568431,0.991580473576838
махтал,0.9933596923939424,0.9933596923939424,0.9964909337696826,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9964909337696826,0.9999999999999996,0.9929508110589075,0.9927106211446549,0.9890674204223356,0.9877072194640198,0.9856594882216801,0.9907661259689592,0.9930840631006186,0.9912705897503452,0.9891179647429137,0.9927341558078788,0.9934659357922209,0.9927341558078788,0.9934659357922209,0.992490218568431,0.991580473576838
махтал,0.9933596923939424,0.9933596923939424,0.9964909337696826,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9964909337696826,0.9999999999999996,0.9929508110589075,0.9927106211446549,0.9890674204223356,0.9877072194640198,0.9856594882216801,0.9907661259689592,0.9930840631006186,0.9912705897503452,0.9891179647429137,0.9927341558078788,0.9934659357922209,0.9927341558078788,0.9934659357922209,0.992490218568431,0.991580473576838
махталлыы,0.9965392325026775,0.9965392325026775,0.9999999999999999,0.9964909337696826,0.9964909337696826,0.9964909337696826,0.9999999999999999,0.9964909337696826,0.9942463941530906,0.9945972168142139,0.9933438518852495,0.9912542318228935,0.9891687306659319,0.9948332875306375,0.9944197665855186,0.9915665034597388,0.9890327913275859,0.9922053518605113,0.9933374824221285,0.9922053518605113,0.9933374824221285,0.9923654976959785,0.9910099209136454
махтал,0.9933596923939424,0.9933596923939424,0.9964909337696826,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9964909337696826,0.9999999999999996,0.9929508110589075,0.9927106211446549,0.9890674204223356,0.9877072194640198,0.9856594882216801,0.9907661259689592,0.9930840631006186,0.9912705897503452,0.9891179647429137,0.9927341558078788,0.9934659357922209,0.9927341558078788,0.9934659357922209,0.992490218568431,0.991580473576838
харыстаах,0.9920252048961071,0.9920252048961071,0.9942463941530906,0.9929508110589075,0.9929508110589075,0.9929508110589075,0.9942463941530906,0.9929508110589075,0.9999999999999994,0.9941766387372241,0.9899206607676545,0.9876228584953044,0.9854717785865782,0.9955892834962364,0.996208016343555,0.9901280102875736,0.9873561063167571,0.9902885151162966,0.9921553402337818,0.9902885151162966,0.9921553402337818,0.9909611427448042,0.9902568310600025
харыстаахтык,0.9947641204767766,0.9947641204767766,0.9945972168142139,0.9927106211446549,0.9927106211446549,0.9927106211446549,0.9945972168142139,0.9927106211446549,0.9941766387372241,0.9999999999999999,0.9926500427137196,0.9931447236975894,0.992406032509453,0.9940251821635073,0.9954130682302076,0.9935209970600889,0.988605323036626,0.9919064328893357,0.9949351419414644,0.9919064328893357,0.9949351419414644,0.9936949458319165,0.9913329515053203
уоланньыы,0.996086402085859,0.996086402085859,0.9933438518852495,0.9890674204223356,0.9890674204223356,0.9890674204223356,0.9933438518852495,0.9890674204223356,0.9899206607676545,0.9926500427137196,0.9999999999999993,0.9949203577583805,0.993338196005716,0.9932173685405838,0.9922560832282159,0.9897727114171521,0.9858702944074815,0.9880973680193506,0.9932254268614914,0.9880973680193506,0.9932254268614914,0.9927151022899293,0.9874791370677481
уоланньыкка,0.9933602371721139,0.9933602371721139,0.9912542318228935,0.9877072194640198,0.9877072194640198,0.9877072194640198,0.9912542318228935,0.9877072194640198,0.9876228584953044,0.9931447236975894,0.9949203577583805,0.9999999999999994,0.996470431287138,0.9893265354195578,0.990078438317578,0.989556098206154,0.9855200161516462,0.9880257408442379,0.9914733339776227,0.9880257408442379,0.9914733339776227,0.9907196199507557,0.9872429826295814
уоланньыылык,0.9926666466877406,0.9926666466877406,0.9891687306659319,0.9856594882216801,0.9856594882216801,0.9856594882216801,0.9891687306659319,0.9856594882216801,0.9854717785865782,0.992406032509453,0.993338196005716,0.996470431287138,0.9999999999999998,0.9885936397967875,0.9883738195270813,0.9890289619068205,0.9842260785318103,0.9861711039470804,0.9889702445045645,0.9861711039470804,0.9889702445045645,0.988539027252006,0.9859643995208324
харыстаммыы,0.9937820489611714,0.9937820489611714,0.9948332875306375,0.9907661259689592,0.9907661259689592,0.9907661259689592,0.9948332875306375,0.9907661259689592,0.9955892834962364,0.9940251821635073,0.9932173685405838,0.9893265354195578,0.9885936397967875,0.9999999999999996,0.9963019622045766,0.9904098489910326,0.9879605038379408,0.9901272245031296,0.9912978343195321,0.9901272245031296,0.9912978343195321,0.9906012493998221,0.9901276044958387
харыстаабыт,0.9940479004232851,0.9940479004232851,0.9944197665855186,0.9930840631006186,0.9930840631006186,0.9930840631006186,0.9944197665855186,0.9930840631006186,0.996208016343555,0.9954130682302076,0.9922560832282159,0.990078438317578,0.9883738195270813,0.9963019622045766,0.9999999999999998,0.9915143621141855,0.9887056109173696,0.991410651430169,0.9931454727442898,0.991410651430169,0.9931454727442898,0.9918291303148439,0.9912660455347408
өрөспүүлээх,0.9924217024936688,0.9924217024936688,0.9915665034597388,0.9912705897503452,0.9912705897503452,0.9912705897503452,0.9915665034597388,0.9912705897503452,0.9901280102875736,0.9935209970600889,0.9897727114171521,0.989556098206154,0.9890289619068205,0.9904098489910326,0.9915143621141855,0.9999999999999996,0.9949059475203175,0.9964278218980678,0.9934724189445383,0.9964278218980678,0.9934724189445383,0.9929434010078353,0.9972347529999905
өрөспүүтэр,0.9892141712529847,0.9892141712529847,0.9890327913275859,0.9891179647429137,0.9891179647429137,0.9891179647429137,0.9890327913275859,0.9891179647429137,0.9873561063167571,0.988605323036626,0.9858702944074815,0.9855200161516462,0.9842260785318103,0.9879605038379408,0.9887056109173696,0.9949059475203175,1.0000000000000004,0.9961214318570701,0.9889252516191751,0.9961214318570701,0.9889252516191751,0.9890318984293983,0.996538664290771
өрөспүү,0.9918865087463922,0.9918865087463922,0.9922053518605113,0.9927341558078788,0.9927341558078788,0.9927341558078788,0.9922053518605113,0.9927341558078788,0.9902885151162966,0.9919064328893357,0.9880973680193506,0.9880257408442379,0.9861711039470804,0.9901272245031296,0.991410651430169,0.9964278218980678,0.9961214318570701,0.9999999999999999,0.9921561695992324,0.9999999999999999,0.9921561695992324,0.992404828361891,0.9978721669118136
бигэргэтэ,0.9942936475070352,0.9942936475070352,0.9933374824221285,0.9934659357922209,0.9934659357922209,0.9934659357922209,0.9933374824221285,0.9934659357922209,0.9921553402337818,0.9949351419414644,0.9932254268614914,0.9914733339776227,0.9889702445045645,0.9912978343195321,0.9931454727442898,0.9934724189445383,0.9889252516191751,0.9921561695992324,0.9999999999999996,0.9921561695992324,0.9999999999999996,0.9981648175516838,0.9918421842238248
өрөспүү,0.9918865087463922,0.9918865087463922,0.9922053518605113,0.9927341558078788,0.9927341558078788,0.9927341558078788,0.9922053518605113,0.9927341558078788,0.9902885151162966,0.9919064328893357,0.9880973680193506,0.9880257408442379,0.9861711039470804,0.9901272245031296,0.991410651430169,0.9964278218980678,0.9961214318570701,0.9999999999999999,0.9921561695992324,0.9999999999999999,0.9921561695992324,0.992404828361891,0.9978721669118136
бигэргэтэ,0.9942936475070352,0.9942936475070352,0.9933374824221285,0.9934659357922209,0.9934659357922209,0.9934659357922209,0.9933374824221285,0.9934659357922209,0.9921553402337818,0.9949351419414644,0.9932254268614914,0.9914733339776227,0.9889702445045645,0.9912978343195321,0.9931454727442898,0.9934724189445383,0.9889252516191751,0.9921561695992324,0.9999999999999996,0.9921561695992324,0.9999999999999996,0.9981648175516838,0.9918421842238248
мине бигэргэтэ,0.9936675671220444,0.9936675671220444,0.9923654976959785,0.992490218568431,0.992490218568431,0.992490218568431,0.9923654976959785,0.992490218568431,0.9909611427448042,0.9936949458319165,0.9927151022899293,0.9907196199507557,0.988539027252006,0.9906012493998221,0.9918291303148439,0.9929434010078353,0.9890318984293983,0.992404828361891,0.9981648175516838,0.992404828361891,0.9981648175516838,0.9999999999999997,0.9919852646461536
өрөспүү үөрэх,0.9911971062002554,0.9911971062002554,0.9910099209136454,0.991580473576838,0.991580473576838,0.991580473576838,0.9910099209136454,0.991580473576838,0.9902568310600025,0.9913329515053203,0.9874791370677481,0.9872429826295814,0.9859643995208324,0.9901276044958387,0.9912660455347408,0.9972347529999905,0.996538664290771,0.9978721669118136,0.9918421842238248,0.9978721669118136,0.9918421842238248,0.9919852646461536,0.9999999999999998
